KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.015625,293353,0.0
2,20,0.03125,307250,0.0
3,20,0.015625,330239,0.0
4,20,0.03125,294485,0.0
5,20,0.015625,277481,0.0
6,20,0.03125,297379,0.0
7,20,0.03125,315628,0.0
8,20,0.03125,401391,0.0
9,20,0.03125,315692,0.0
10,20,0.046875,304577,0.0
11,20,0.03125,288459,0.0
12,20,0.03125,278155,0.0
13,20,0.03125,308847,0.0
14,20,0.03125,281849,0.0
15,20,0.015625,278802,0.0
16,20,0.03125,270192,0.0
17,20,0.03125,300731,0.0
18,20,0.015625,285597,0.0
19,20,0.015625,292025,0.0
20,20,0.015625,303274,0.0
21,20,0.015625,262359,0.0
22,20,0.015625,297057,0.0
23,20,0.03125,290572,0.0
24,20,0.03125,293473,0.0
25,20,0.015625,304916,0.0
26,20,0.015625,279945,0.0
27,20,0.015625,273434,0.0
28,20,0.03125,279329,0.0
29,20,0.03125,304779,0.0
30,20,0.03125,297162,0.0
31,20,0.03125,335768,0.0
32,20,0.015625,263579,0.0
33,20,0.03125,275631,0.0
34,20,0.03125,308170,0.0
35,20,0.015625,313788,0.0
36,20,0.03125,339437,0.0
37,20,0.03125,363982,0.0
38,20,0.03125,345520,0.0
39,20,0.03125,265274,0.0
40,20,0.015625,348581,0.0
41,20,0.03125,263569,0.0
42,20,0.015625,297470,0.0
43,20,0.03125,357903,0.0
44,20,0.015625,262536,0.0
45,20,0.03125,306052,0.0
46,20,0.015625,323150,0.0
47,20,0.03125,314306,0.0
48,20,0.03125,273811,0.0
49,20,0.015625,276138,0.0
50,20,0.03125,309404,0.0
51,20,0.015625,295866,0.0
52,20,0.03125,327433,0.0
53,20,0.015625,289779,0.0
54,20,0.015625,281860,0.0
55,20,0.015625,296899,0.0
56,20,0.03125,268676,0.0
57,20,0.03125,293047,0.0
58,20,0.015625,305975,0.0
59,20,0.03125,347489,0.0
60,20,0.03125,300920,0.0
61,20,0.03125,320307,0.0
62,20,0.03125,334237,0.0
63,20,0.015625,278885,0.0
64,20,0.03125,268413,0.0
65,20,0.03125,278686,0.0
66,20,0.015625,284419,0.0
67,20,0.046875,289119,0.0
68,20,0.03125,289132,0.0
69,20,0.03125,321737,0.0
70,20,0.03125,265379,0.0
71,20,0.015625,301661,0.0
72,20,0.03125,268278,0.0
73,20,0.015625,275500,0.0
74,20,0.03125,334463,0.0
75,20,0.015625,285979,0.0
76,20,0.03125,291881,0.0
77,20,0.03125,332758,0.0
78,20,0.03125,338007,0.0
79,20,0.015625,273553,0.0
80,20,0.015625,280970,0.0
81,20,0.03125,318739,0.0
82,20,0.03125,312954,0.0
83,20,0.015625,266632,0.0
84,20,0.015625,287152,0.0
85,20,0.03125,317823,0.0
86,20,0.03125,372076,0.0
87,20,0.015625,302772,0.0
88,20,0.03125,307144,0.0
89,20,0.015625,322402,0.0
90,20,0.03125,280253,0.0
91,20,0.015625,271899,0.0
92,20,0.03125,298501,0.0
93,20,0.03125,266922,0.0
94,20,0.03125,302805,0.0
95,20,0.015625,295262,0.0
96,20,0.03125,265007,0.0
97,20,0.015625,263549,0.0
98,20,0.046875,285123,0.0
99,20,0.03125,279357,0.0
