datum,prirustkovy_pocet_nakazenych,kumulativni_pocet_nakazenych
2020-10-18,5058,173902
2020-10-19,8076,181978
2020-10-20,11984,193962
2020-10-21,14971,208933
2020-10-22,14155,223088
2020-10-23,15249,238337
2020-10-24,12472,250809
2020-10-25,7300,258109
2020-10-26,10272,268381
2020-10-27,15665,284046
2020-10-28,12978,297024
2020-10-29,13051,310075
2020-10-30,13603,323678
2020-10-31,11427,335105
2020-11-01,6551,341656
2020-11-02,9239,350895
2020-11-03,12088,362983
2020-11-04,15725,378708
2020-11-05,13233,391941
2020-11-06,11546,403487
2020-11-07,7720,411207
2020-11-08,3609,414816
2020-11-09,6048,420864
2020-11-10,9055,429919
2020-11-11,8920,438839
2020-11-12,7874,446713
2020-11-13,7358,454071
2020-11-14,4196,458267
2020-11-15,1890,460157
2020-11-16,5411,465568
2020-11-17,4246,469814
2020-11-18,5514,475328
2020-11-19,6470,481798
2020-11-20,5809,487607
2020-11-21,3191,490798
2020-11-22,1509,492307
2020-11-23,4380,496687
2020-11-24,5861,502548
2020-11-25,4928,507476
2020-11-26,4049,511525
2020-11-27,4460,515985
2020-11-28,2666,518651
2020-11-29,1074,519725
2020-11-30,3573,523298
2020-12-01,5176,528474
