fileName,realTime,callCnt,threadCnt,cpuCnt,algoName
./testData/saj12.txt,225.723,1203734848,10,1,ompTask
./testData/saj12.txt,213.589,1180734810,10,1,ompTask
./testData/saj12.txt,466.6,2639821404,10,1,ompTask
./testData/saj12.txt,207.823,1180900708,10,1,ompTask
./testData/saj12.txt,527.42,2969290253,10,1,ompTask
./testData/saj12.txt,467.575,2690914355,10,1,ompTask
./testData/saj12.txt,501.903,2907822170,10,1,ompTask
./testData/saj12.txt,312.414,1774098805,10,1,ompTask
./testData/saj12.txt,526.847,2868225233,10,1,ompTask
./testData/saj12.txt,321.920,1838275742,10,1,ompTask
./testData/saj12.txt,381.650,2165289837,10,1,ompTask
./testData/saj12.txt,335.326,1962324869,15,1,ompTask
./testData/saj12.txt,222.170,1313015249,15,1,ompTask
./testData/saj12.txt,210.488,1235475673,15,1,ompTask
./testData/saj12.txt,392.385,2343313039,15,1,ompTask
./testData/saj12.txt,203.103,1176353485,15,1,ompTask
./testData/saj12.txt,216.623,1260212505,15,1,ompTask
./testData/saj12.txt,382.600,2281747258,15,1,ompTask
./testData/saj12.txt,402.233,2439107703,15,1,ompTask
./testData/saj12.txt,230.197,1360572200,15,1,ompTask
./testData/saj12.txt,208.154,1237408850,15,1,ompTask
./testData/saj12.txt,412.700,2422001131,15,1,ompTask
./testData/saj12.txt,207.307,1274527329,20,1,ompTask
./testData/saj12.txt,271.98,1619001685,20,1,ompTask
./testData/saj12.txt,218.128,1334323992,20,1,ompTask
./testData/saj12.txt,260.478,1577184689,20,1,ompTask
./testData/saj12.txt,192.700,1185462012,20,1,ompTask
./testData/saj12.txt,211.416,1265533321,20,1,ompTask
./testData/saj12.txt,201.780,1229861949,20,1,ompTask
./testData/saj12.txt,223.32,1325367527,20,1,ompTask
./testData/saj12.txt,466.407,2830097170,20,1,ompTask
./testData/saj12.txt,195.122,1183703343,20,1,ompTask
./testData/saj12.txt,447.990,2057125660,5,1,ompTask
./testData/saj12.txt,249.257,1162812846,5,1,ompTask
./testData/saj12.txt,404.928,1946771521,5,1,ompTask
./testData/saj12.txt,258.489,1179964244,5,1,ompTask
./testData/saj12.txt,401.192,1869317298,5,1,ompTask
./testData/saj12.txt,290.981,1337356747,5,1,ompTask
./testData/saj12.txt,412.223,1968923085,5,1,ompTask
./testData/saj12.txt,387.204,1756674037,5,1,ompTask
./testData/saj12.txt,386.716,1865028053,5,1,ompTask
./testData/saj12.txt,469.252,2205743002,5,1,ompTask
./testData/saj12.txt,309.271,1461278977,5,1,ompTask
./testData/saj6.txt,6.893,32290771,1,1,ompTask
./testData/saj6.txt,6.147,32290771,1,1,ompTask
./testData/saj6.txt,6.140,32290771,1,1,ompTask
./testData/saj6.txt,6.174,32290771,1,1,ompTask
./testData/saj6.txt,6.187,32290771,1,1,ompTask
./testData/saj6.txt,6.155,32290771,1,1,ompTask
./testData/saj6.txt,6.176,32290771,1,1,ompTask
./testData/saj6.txt,6.151,32290771,1,1,ompTask
./testData/saj6.txt,6.168,32290771,1,1,ompTask
./testData/saj6.txt,6.142,32290771,1,1,ompTask
./testData/saj6.txt,4.670,24991278,10,1,ompTask
./testData/saj6.txt,4.735,25438603,10,1,ompTask
./testData/saj6.txt,4.601,25734844,10,1,ompTask
./testData/saj6.txt,4.717,25072512,10,1,ompTask
./testData/saj6.txt,4.568,25000008,10,1,ompTask
./testData/saj6.txt,4.600,24961570,10,1,ompTask
./testData/saj6.txt,4.458,24994426,10,1,ompTask
./testData/saj6.txt,4.632,24952259,10,1,ompTask
./testData/saj6.txt,4.650,25337121,10,1,ompTask
./testData/saj6.txt,4.668,25073183,10,1,ompTask
./testData/saj6.txt,6.489,38200536,15,1,ompTask
./testData/saj6.txt,4.657,26673528,15,1,ompTask
./testData/saj6.txt,4.559,26419402,15,1,ompTask
./testData/saj6.txt,4.555,25921699,15,1,ompTask
./testData/saj6.txt,6.177,34804418,15,1,ompTask
./testData/saj6.txt,4.669,27140136,15,1,ompTask
./testData/saj6.txt,7.248,40707505,15,1,ompTask
./testData/saj6.txt,4.568,25607255,15,1,ompTask
./testData/saj6.txt,7.186,41891166,15,1,ompTask
./testData/saj6.txt,4.536,25378510,15,1,ompTask
./testData/saj6.txt,6.443,38013745,20,1,ompTask
./testData/saj6.txt,4.277,25088973,20,1,ompTask
./testData/saj6.txt,20.269,119223784,20,1,ompTask
./testData/saj6.txt,4.411,25840142,20,1,ompTask
./testData/saj6.txt,4.317,25911380,20,1,ompTask
./testData/saj6.txt,4.340,25113557,20,1,ompTask
./testData/saj6.txt,4.355,25512990,20,1,ompTask
./testData/saj6.txt,4.435,25822581,20,1,ompTask
./testData/saj6.txt,4.160,24927678,20,1,ompTask
./testData/saj6.txt,6.154,36584244,20,1,ompTask
./testData/saj6.txt,5.350,24879690,5,1,ompTask
./testData/saj6.txt,5.493,25231868,5,1,ompTask
./testData/saj6.txt,5.909,26383109,5,1,ompTask
./testData/saj6.txt,10.761,49750397,5,1,ompTask
./testData/saj6.txt,5.468,24896340,5,1,ompTask
./testData/saj6.txt,5.448,25041412,5,1,ompTask
./testData/saj6.txt,5.855,26494168,5,1,ompTask
./testData/saj6.txt,5.610,24908783,5,1,ompTask
./testData/saj6.txt,6.344,28321332,5,1,ompTask
./testData/saj6.txt,5.778,25577126,5,1,ompTask
./testData/saj7.txt,3.690,19123560,1,1,ompTask
./testData/saj7.txt,3.705,19123560,1,1,ompTask
./testData/saj7.txt,3.708,19123560,1,1,ompTask
./testData/saj7.txt,3.708,19123560,1,1,ompTask
./testData/saj7.txt,3.691,19123560,1,1,ompTask
./testData/saj7.txt,3.694,19123560,1,1,ompTask
./testData/saj7.txt,3.695,19123560,1,1,ompTask
./testData/saj7.txt,3.670,19123560,1,1,ompTask
./testData/saj7.txt,3.703,19123560,1,1,ompTask
./testData/saj7.txt,3.695,19123560,1,1,ompTask
./testData/saj7.txt,1.580,8050833,10,1,ompTask
./testData/saj7.txt,0.707,3319064,10,1,ompTask
./testData/saj7.txt,1.585,8317657,10,1,ompTask
./testData/saj7.txt,8.205,44753237,10,1,ompTask
./testData/saj7.txt,3.310,18426624,10,1,ompTask
./testData/saj7.txt,0.626,2809949,10,1,ompTask
./testData/saj7.txt,2.581,13883237,10,1,ompTask
./testData/saj7.txt,1.51,5160789,10,1,ompTask
./testData/saj7.txt,0.236,1074972,10,1,ompTask
./testData/saj7.txt,0.854,4205738,10,1,ompTask
./testData/saj7.txt,2.21,11252160,15,1,ompTask
./testData/saj7.txt,1.771,9712874,15,1,ompTask
./testData/saj7.txt,2.395,13413691,15,1,ompTask
./testData/saj7.txt,0.779,3930459,15,1,ompTask
./testData/saj7.txt,0.651,3196721,15,1,ompTask
./testData/saj7.txt,1.507,8136387,15,1,ompTask
./testData/saj7.txt,0.618,2977681,15,1,ompTask
./testData/saj7.txt,0.376,1796360,15,1,ompTask
./testData/saj7.txt,27.509,161737941,15,1,ompTask
./testData/saj7.txt,1.256,6577082,15,1,ompTask
./testData/saj7.txt,1.428,7904027,20,1,ompTask
./testData/saj7.txt,0.729,3853025,20,1,ompTask
./testData/saj7.txt,1.128,6143492,20,1,ompTask
./testData/saj7.txt,0.285,1302374,20,1,ompTask
./testData/saj7.txt,0.349,1680007,20,1,ompTask
./testData/saj7.txt,1.552,8815226,20,1,ompTask
./testData/saj7.txt,1.33,5517267,20,1,ompTask
./testData/saj7.txt,0.386,1843819,20,1,ompTask
./testData/saj7.txt,2.126,12396665,20,1,ompTask
./testData/saj7.txt,0.678,3388750,20,1,ompTask
./testData/saj7.txt,1.83,4324915,5,1,ompTask
./testData/saj7.txt,1.439,6077345,5,1,ompTask
./testData/saj7.txt,2.317,9942703,5,1,ompTask
./testData/saj7.txt,1.255,5134587,5,1,ompTask
