fileName,realTime,callCnt,threadCnt,cpuCnt,algoName
./testData/saj12.txt,347.161,0,1,1,ompDat
./testData/saj12.txt,346.912,0,1,1,ompDat
./testData/saj12.txt,347.134,0,1,1,ompDat
./testData/saj12.txt,347.144,0,1,1,ompDat
./testData/saj12.txt,346.953,0,1,1,ompDat
./testData/saj12.txt,347.117,0,1,1,ompDat
./testData/saj12.txt,347.105,0,1,1,ompDat
./testData/saj12.txt,347.473,0,1,1,ompDat
./testData/saj12.txt,346.965,0,1,1,ompDat
./testData/saj12.txt,347.369,0,1,1,ompDat
./testData/saj12.txt,151.315,0,10,1,ompDat
./testData/saj12.txt,146.33,0,10,1,ompDat
./testData/saj12.txt,139.187,0,10,1,ompDat
./testData/saj12.txt,125.901,0,10,1,ompDat
./testData/saj12.txt,142.876,0,10,1,ompDat
./testData/saj12.txt,136.853,0,10,1,ompDat
./testData/saj12.txt,145.192,0,10,1,ompDat
./testData/saj12.txt,152.271,0,10,1,ompDat
./testData/saj12.txt,130.679,0,10,1,ompDat
./testData/saj12.txt,144.779,0,10,1,ompDat
./testData/saj12.txt,82.698,0,15,1,ompDat
./testData/saj12.txt,84.567,0,15,1,ompDat
./testData/saj12.txt,96.891,0,15,1,ompDat
./testData/saj12.txt,81.386,0,15,1,ompDat
./testData/saj12.txt,90.102,0,15,1,ompDat
./testData/saj12.txt,102.75,0,15,1,ompDat
./testData/saj12.txt,97.464,0,15,1,ompDat
./testData/saj12.txt,87.887,0,15,1,ompDat
./testData/saj12.txt,99.616,0,15,1,ompDat
./testData/saj12.txt,80.336,0,15,1,ompDat
./testData/saj12.txt,61.323,0,20,1,ompDat
./testData/saj12.txt,92.543,0,20,1,ompDat
./testData/saj12.txt,61.656,0,20,1,ompDat
./testData/saj12.txt,91.346,0,20,1,ompDat
./testData/saj12.txt,61.618,0,20,1,ompDat
./testData/saj12.txt,95.372,0,20,1,ompDat
./testData/saj12.txt,61.546,0,20,1,ompDat
./testData/saj12.txt,79.91,0,20,1,ompDat
./testData/saj12.txt,100.19,0,20,1,ompDat
./testData/saj12.txt,86.400,0,20,1,ompDat
./testData/saj12.txt,190.617,0,5,1,ompDat
./testData/saj12.txt,194.640,0,5,1,ompDat
./testData/saj12.txt,197.359,0,5,1,ompDat
./testData/saj12.txt,188.96,0,5,1,ompDat
./testData/saj12.txt,203.30,0,5,1,ompDat
./testData/saj12.txt,200.87,0,5,1,ompDat
./testData/saj12.txt,207.582,0,5,1,ompDat
./testData/saj12.txt,172.685,0,5,1,ompDat
./testData/saj12.txt,178.313,0,5,1,ompDat
./testData/saj12.txt,199.419,0,5,1,ompDat
./testData/saj6.txt,88.885,0,1,1,ompDat
./testData/saj6.txt,88.670,0,1,1,ompDat
./testData/saj6.txt,88.569,0,1,1,ompDat
./testData/saj6.txt,88.676,0,1,1,ompDat
./testData/saj6.txt,88.750,0,1,1,ompDat
./testData/saj6.txt,88.895,0,1,1,ompDat
./testData/saj6.txt,88.632,0,1,1,ompDat
./testData/saj6.txt,88.735,0,1,1,ompDat
./testData/saj6.txt,88.674,0,1,1,ompDat
./testData/saj6.txt,88.807,0,1,1,ompDat
