FormulaId,NumberOfClauses,CpuTime,RelativeError
0274,50,0.359375,0.20844802032606394
0470,50,0.265625,0.10973084886128365
0369,50,0.65625,0.0
012,50,0.234375,0.06388017666261281
0821,50,0.25,0.042893782612540905
0920,50,0.125,0.22503309310192676
0620,50,0.109375,0.3117221144290379
0642,50,0.140625,0.08627286545416427
036,50,0.109375,0.13841368584758942
0665,50,0.15625,0.2196859684153204
0863,50,0.265625,0.12376633769005067
0123,50,0.40625,0.03151105916980479
0882,50,0.15625,0.03506050263729445
0441,50,0.40625,0.7527896995708154
0485,50,0.125,0.26196553924696875
0987,50,0.296875,0.08082408874801902
0405,50,0.140625,0.17946577629382304
0768,50,0.296875,0.08036905291240551
0241,50,0.140625,0.03678846631866766
0655,50,0.140625,0.10807694323601866
0897,50,0.125,0.31905378368836057
0139,50,0.125,0.0
0414,50,0.140625,0.159808963997061
0832,50,0.125,0.0949971081550029
024,50,0.125,0.08570549315279273
0434,50,0.125,0.42220936957779065
0133,50,0.125,0.25554776921280076
0430,50,0.109375,0.08176887776387151
0452,50,0.375,0.013099136647811848
0672,50,0.140625,0.001606033098247329
0879,50,0.265625,0.14980368468740562
0957,50,0.125,0.034675236806495265
0613,50,0.140625,0.15099359322401998
0954,50,0.125,0.07838807617996135
