KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
38,32,2.078125,20029642,0.0,false,true,true,true,true,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true
39,32,0.3125,3228085,0.0,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false
40,32,0.921875,9010305,0.0,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,false,true
41,32,0.453125,4779896,0.0,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false
42,32,1.046875,10149517,0.0,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false
43,32,0.859375,8308461,0.0,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false
44,32,0.484375,4105306,0.0,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false
45,32,1.4375,13589299,0.0,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
46,32,0.875,8537880,0.0,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,false
47,32,0.421875,3567012,0.0,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
48,32,0.890625,8461754,0.0,true,false,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true
49,32,0.5625,5539911,0.0,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
50,32,0.375,3655505,0.0,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true
51,32,2.765625,26371579,0.0,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false
