KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
49,25,1.34375,16777216,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
50,25,0.046875,430011,false,true,false,false,true,true,false,false,true,false,false,true,false,true,false,true,true,true,true,false,false,false,false,true,false
51,25,1.34375,16776238,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
52,25,1.09375,12544609,true,false,true,false,true,true,true,false,false,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,false
53,25,1.3125,16777214,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true
54,25,0.015625,56135,false,true,true,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false
55,25,0.71875,7877031,true,true,false,true,false,true,false,true,true,true,false,false,true,false,false,true,true,false,true,true,false,true,false,false,true
56,25,0.0,888,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false
57,25,1.34375,16776314,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
58,25,0.0,17042,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false
59,25,0.953125,11391001,true,true,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,false,true,false,true,true,false,true,false
60,25,0.296875,3244718,false,true,false,false,true,false,true,true,true,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false
61,25,1.453125,16777205,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
62,25,1.34375,16777216,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
63,25,1.046875,12377619,true,true,true,true,false,false,true,true,false,true,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true
64,25,0.0,13146,false,false,false,true,false,false,true,false,true,false,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false
65,25,1.4375,16739354,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
66,25,1.34375,16635663,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true
67,25,1.171875,14033245,true,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false
68,25,1.46875,16777216,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
