KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
60,20,0.046875,523858,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true
61,20,0.03125,523453,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
62,20,0.046875,524284,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
63,20,0.0,104304,true,false,true,false,true,true,true,false,true,false,false,false,true,true,false,true,false,false,true,false
64,20,0.015625,189251,true,true,false,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true,true
65,20,0.015625,62943,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,false,false,true,false,true
66,20,0.0,118024,true,false,false,true,true,false,true,true,true,false,false,false,true,false,true,false,true,true,true,false
67,20,0.046875,524288,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
68,20,0.046875,522667,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
69,20,0.015625,342582,false,true,true,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true
70,20,0.0,19,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false
71,20,0.03125,524189,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true
72,20,0.03125,362971,true,true,false,false,true,true,true,true,false,true,true,false,false,true,false,true,false,true,true,true
73,20,0.046875,519039,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false
74,20,0.015625,521274,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
75,20,0.0,45,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false
76,20,0.046875,523943,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true
77,20,0.03125,522518,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,false,true
78,20,0.0,1128,true,false,false,true,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,true
79,20,0.03125,524221,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false
80,20,0.046875,524105,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true
81,20,0.046875,520456,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true
