KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
52,22,0.0,26224,0.0,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,true
53,22,0.03125,149330,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false
54,22,0.0,86102,0.0,false,true,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,false,true,true,true,true
55,22,0.015625,50050,0.0,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true
56,22,0.0,18980,0.0,true,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true
57,22,0.0,21151,0.0,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true
58,22,0.0,31051,0.0,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
59,22,0.0,39029,0.0,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true
60,22,0.0,29672,0.0,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false
61,22,0.015625,47367,0.0,true,false,true,true,false,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true
62,22,0.0,32245,0.0,true,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true
63,22,0.0,30184,0.0,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,true,false,true,true,false
64,22,0.0,44596,0.0,false,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true
65,22,0.015625,79742,0.0,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,true
66,22,0.0,34306,0.0,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false
67,22,0.0,17173,0.0,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,false,false,true,true
68,22,0.0,37802,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,false,true,false,false
69,22,0.0,35589,0.0,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true
70,22,0.0,33364,0.0,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false
71,22,0.0,30096,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true
72,22,0.015625,21146,0.0,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false
73,22,0.0,84956,0.0,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true
74,22,0.015625,24097,0.0,true,true,false,true,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true
75,22,0.0,63479,0.0,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true
76,22,0.0,11725,0.0,true,false,true,false,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true
77,22,0.015625,134593,0.0,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,false
78,22,0.0,38334,0.0,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true
79,22,0.0,19859,0.0,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true
80,22,0.015625,16724,0.0,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false
81,22,0.0,48295,0.0,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true
82,22,0.015625,82374,0.0,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true
83,22,0.0,26836,0.0,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,true
