KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
40,32,0.0,222,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
41,32,10.96875,131382080,false,true,true,true,false,false,false,false,true,true,false,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,true,false,false,false,true
42,32,33.71875,407746496,true,false,false,true,true,false,true,true,true,false,false,false,true,false,false,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true
43,32,176.109375,2147483613,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
44,32,22.78125,271045092,false,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,false,true,false,true,true
45,32,131.71875,1547458824,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,false,false,true,true,true,true,true,false
46,32,170.171875,2064079764,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,false,false
47,32,0.296875,3260740,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,false,true,false,true
48,32,55.921875,656193705,false,false,true,true,false,true,true,false,true,false,true,true,true,false,true,true,false,false,false,true,true,false,true,true,false,false,true,true,true,true,false,true
49,32,175.765625,2113859155,true,true,true,true,true,false,false,true,true,false,true,false,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true
50,32,159.109375,1888734251,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false
51,32,175.765625,2145703915,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true
52,32,0.015625,4317,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false
53,32,104.59375,1260629529,true,true,false,false,true,false,true,false,true,true,true,true,true,false,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,false,true
54,32,178.125,2147482427,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
55,32,171.9375,2039945670,true,false,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,false,true
56,32,2.953125,34051435,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,true,true,true,true,false,false,false,false,true
57,32,176.015625,2147218928,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
58,32,3.53125,41438634,false,false,false,false,true,false,true,true,false,false,true,false,true,true,false,true,false,true,true,false,true,false,false,false,false,false,true,true,false,false,false,true
59,32,165.734375,1954999704,false,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false
60,32,168.21875,2050365490,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true
61,32,1.640625,19256194,false,true,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,true,false,true,false,true
62,32,140.328125,1664042755,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false,false,false
63,32,176.015625,2142583690,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true
64,32,172.28125,2058449895,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true
65,32,2.828125,33321645,true,false,true,false,false,false,false,true,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,true,false,true,false,true,false,true,false,false
66,32,2.453125,28936523,false,false,true,true,true,true,true,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,true,false
67,32,0.0,2131,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,true,true
68,32,0.25,2991289,true,true,false,false,false,true,true,false,true,true,false,true,false,false,true,false,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,false
69,32,0.0,21201,false,false,false,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false
70,32,35.109375,424417621,true,true,false,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false
71,32,18.15625,217429329,true,true,true,true,true,false,true,false,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true,false,true,true,true,true,false,false,false,false
