KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9
1681,10,0.0,6,0.0,false,false,false,false,false,false,false,false,false,true
1682,10,0.0,24,0.0,true,false,true,false,false,false,true,true,false,false
1171,10,0.0,12,0.0,false,false,false,false,false,false,false,true,false,false
660,10,0.015625,3,0.0,false,false,false,false,false,false,false,false,false,true
151,10,0.0,4,0.0,true,false,false,false,false,false,false,false,false,false
1687,10,0.0,9,0.0,true,false,false,true,false,false,true,true,true,false
1690,10,0.0,3,0.0,false,false,false,true,false,false,false,false,false,false
668,10,0.0,3,0.0,false,false,false,false,false,false,false,true,false,false
1693,10,0.0,7,0.0,false,false,false,false,false,false,true,false,false,false
1183,10,0.0,18,0.0,true,true,false,false,false,false,false,true,true,true
1696,10,0.0,4,0.0,false,false,true,false,false,false,false,false,false,false
1698,10,0.0,2,0.0,false,false,false,false,false,false,false,false,true,false
1699,10,0.0,8,0.0,false,false,false,false,false,false,false,false,true,false
677,10,0.0,24,0.0,false,false,false,true,false,false,false,false,false,false
173,10,0.0,2,0.0,false,false,false,false,false,false,false,false,false,true
1197,10,0.0,10,0.0,true,false,true,false,false,true,false,false,true,false
1710,10,0.0,2,0.0,false,false,false,false,false,false,true,false,false,false
1202,10,0.0,4,0.0,false,false,false,true,false,false,false,false,false,false
179,10,0.0,21,0.0,true,false,false,true,false,true,false,true,true,true
1716,10,0.0,19,0.0,false,false,true,false,false,false,true,true,false,true
181,10,0.0,18,0.0,true,false,true,false,false,true,true,false,true,true
1206,10,0.0,3,0.0,false,false,false,false,false,true,false,false,false,false
1724,10,0.0,5,0.0,false,false,false,false,true,false,false,false,false,false
191,10,0.0,4,0.0,false,false,false,false,false,false,false,false,true,false
1731,10,0.0,3,0.0,false,false,false,false,true,false,false,false,false,false
196,10,0.0,7,0.0,false,false,false,false,false,false,true,false,false,false
1732,10,0.0,19,0.0,true,true,true,true,false,false,false,false,false,false
1222,10,0.0,51,0.0,false,false,true,true,false,true,true,true,true,true
1737,10,0.0,8,0.0,false,true,false,false,false,false,false,false,false,false
202,10,0.0,3,0.0,false,false,false,false,false,false,false,false,true,false
1738,10,0.0,2,0.0,false,false,false,true,false,false,false,false,false,false
204,10,0.0,4,0.0,false,false,true,false,false,false,false,false,false,false
