KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
46,27,0.0,2088,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
47,27,2.03125,23560348,false,false,false,false,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false
48,27,0.578125,7122018,true,false,true,true,false,false,false,true,false,false,true,false,true,true,true,false,false,true,true,true,true,false,false,false,false,true,true
49,27,5.1875,62054017,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,false,true,false,true,true,true,true,true,true,false,true
50,27,2.203125,27353561,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true
51,27,2.53125,31187698,true,false,true,true,true,true,false,true,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,true,false,false,true
52,27,0.84375,10182624,true,false,false,true,true,true,true,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,false,true,true
53,27,5.296875,67108864,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
54,27,5.109375,64087355,false,false,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true
55,27,5.40625,67104935,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true
56,27,0.375,4798623,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,true,true
57,27,3.5,43492233,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false
58,27,0.0625,906509,false,true,true,false,false,false,true,true,false,true,false,true,true,false,false,true,false,false,true,true,false,false,true,false,true,true,false
59,27,2.203125,27291083,false,false,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,false,false,true,false,false,false,true
60,27,0.015625,105504,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,true,false
61,27,0.3125,3655790,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false,true,true
62,27,4.390625,54322547,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,false,false,true,false,true,false,false,true,true
63,27,5.359375,67108864,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
64,27,5.390625,67108864,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
65,27,4.984375,62929439,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,false,false,true,true,true,true,true,false,true
66,27,5.296875,66417648,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,false,true,true,true,true
67,27,0.0,3478,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true
68,27,1.90625,23808116,false,false,false,true,false,true,true,false,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true,false,true,true
