KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
72,22,0.015625,267727,true,true,false,false,false,false,false,true,false,true,false,false,true,true,false,true,false,true,true,true,true,true
73,22,0.296875,2065943,false,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true
74,22,0.03125,185185,true,false,false,true,false,false,false,true,true,true,false,false,true,true,true,false,true,true,false,true,false,false
75,22,0.0,24,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true
76,22,0.140625,1095253,true,false,true,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,true
77,22,0.1875,2097152,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
78,22,0.25,2097119,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
79,22,0.0,569,false,false,false,false,false,true,true,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false
80,22,0.203125,1731470,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true
81,22,0.046875,358463,true,true,false,false,true,true,false,false,true,true,false,false,false,false,true,true,true,false,true,false,false,true
82,22,0.203125,2097121,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true
83,22,0.0,3714,false,true,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true,false,false,false,false
84,22,0.234375,2097139,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
85,22,0.1875,2091919,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false
86,22,0.203125,2096832,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
87,22,0.171875,2081688,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true
88,22,0.25,2081878,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
89,22,0.25,1921600,true,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true,true,true,true,false
90,22,0.0,1503,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true
91,22,0.21875,2078102,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true
92,22,0.1875,2066532,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true
93,22,0.203125,1675532,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,false,true,true
94,22,0.015625,111903,true,true,false,true,true,false,false,true,true,false,false,true,true,false,false,false,true,false,true,false,false,false
95,22,0.1875,2097131,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
96,22,0.171875,2079831,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true
97,22,0.0,3367,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true
98,22,0.0625,767739,true,true,false,true,false,false,true,true,false,true,false,true,false,false,true,true,true,false,true,true,true,false
99,22,0.140625,1397302,true,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,false
100,22,0.203125,2097040,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
101,22,0.109375,1034075,true,false,false,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,false
102,22,0.0,84,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false
103,22,0.015625,163349,false,true,true,false,true,false,true,true,false,false,false,false,true,false,false,true,true,false,true,false,false,true
104,22,0.171875,1993465,false,false,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true
105,22,0.046875,567105,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,true,true,true,true,true,true
106,22,0.078125,903689,false,true,true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,false,false,true
107,22,0.25,2091121,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true
108,22,0.203125,2093948,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true
109,22,0.015625,26276,true,false,true,false,true,false,false,false,false,true,false,true,true,true,false,true,false,false,false,false,true,false
110,22,0.015625,222085,false,false,true,false,true,true,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,false
111,22,0.171875,1993191,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,false,true
112,22,0.203125,2096637,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
113,22,0.1875,2097152,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
