KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
69,15,0.015625,13969,0.0,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true
70,15,0.0,14464,0.0,true,true,false,true,true,true,false,true,true,false,false,true,true,true,true
71,15,0.0,15063,0.0,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false
72,15,0.0,14104,0.0,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false
73,15,0.0,14510,0.0,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false
74,15,0.0,13560,0.0,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true
75,15,0.0,14876,0.0,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false
76,15,0.0,15615,0.0,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false
77,15,0.0,14692,0.0,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false
78,15,0.0,13805,0.0,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true
79,15,0.0,14371,0.0,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false
80,15,0.0,13697,0.0,true,true,false,true,true,true,false,true,false,true,true,true,true,false,true
81,15,0.0,13985,0.0,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true
82,15,0.0,14721,0.0,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false
83,15,0.0,13694,0.0,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true
84,15,0.015625,13753,0.0,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true
85,15,0.0,15034,0.0,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true
86,15,0.0,13327,0.0,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true
87,15,0.0,14866,0.0,true,false,false,true,true,true,true,true,false,true,true,false,true,true,true
88,15,0.015625,13861,0.0,false,true,true,true,true,true,true,true,true,true,false,false,true,true,false
89,15,0.0,12775,0.0,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true
90,15,0.0,13048,0.0,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true
91,15,0.0,15269,0.0,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true
92,15,0.0,14339,0.0,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true
93,15,0.015625,13131,0.0,false,true,true,true,true,true,true,true,true,false,false,true,true,true,false
94,15,0.0,13891,0.0,false,true,false,false,true,true,true,true,true,true,true,true,false,true,true
95,15,0.0,14277,0.0,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true
96,15,0.0,13678,0.0,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true
97,15,0.0,13529,0.0,true,true,true,false,true,true,true,true,true,false,true,false,true,false,true
98,15,0.0,14143,0.0,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true
99,15,0.0,13662,0.0,false,true,true,true,false,true,false,true,true,true,true,true,false,true,true
100,15,0.0,13847,0.0,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true
101,15,0.0,12762,0.0,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true
102,15,0.0,14159,0.0,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true
103,15,0.0,12526,0.0,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true
104,15,0.015625,14618,0.0,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true
105,15,0.0,13847,0.0,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true
106,15,0.0,14070,0.0,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true
107,15,0.0,13590,0.0,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true
108,15,0.0,15044,0.0,true,true,true,true,true,false,true,true,false,true,true,true,false,true,false
109,15,0.015625,13862,0.0,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false
110,15,0.0,14970,0.0,true,true,true,true,true,true,false,false,true,false,false,true,true,true,true
111,15,0.0,13808,0.0,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true
112,15,0.0,13854,0.0,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true
113,15,0.0,14464,0.0,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false
114,15,0.0,12983,0.0,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true
115,15,0.0,14179,0.0,true,true,true,true,true,false,false,true,false,true,true,true,true,false,true
116,15,0.0,14334,0.0,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true
117,15,0.015625,14459,0.0,true,true,true,true,true,false,true,true,true,false,false,true,true,false,true
118,15,0.0,14725,0.0,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true
119,15,0.0,15038,0.0,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true
120,15,0.0,14773,0.0,true,false,true,true,true,true,true,true,false,true,true,false,true,true,false
121,15,0.0,13585,0.0,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true
122,15,0.0,14843,0.0,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false
