KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
40,30,1.140625,6744795,0.0,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true
41,30,0.34375,2730131,0.0,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true
42,30,0.328125,2521737,0.0,true,false,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,false,true,true,false,true,true,true
43,30,0.109375,1051168,0.0,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true
44,30,0.46875,4201963,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,true
45,30,0.390625,3307036,0.0,false,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true
46,30,0.1875,1814008,0.0,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true
47,30,0.15625,1521384,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,false,false
48,30,0.46875,4313520,0.0,true,false,false,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true
49,30,0.421875,3422945,0.0,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false
50,30,0.09375,900800,0.0,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false
51,30,0.1875,1833657,0.0,true,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true
52,30,0.46875,3519082,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,false,false,true
53,30,0.125,1203830,0.0,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,false
54,30,0.578125,5054567,0.0,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false
55,30,0.28125,2285302,0.0,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true
56,30,0.296875,3033355,0.0,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,true,true,true,false,true,true
57,30,0.25,2571227,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,true,false,true,true,true,false,false
58,30,0.375,3431359,0.0,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
59,30,0.40625,3959046,0.0,true,true,true,false,true,true,true,false,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true
60,30,0.171875,1717747,0.0,false,true,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true
61,30,0.3125,2848961,0.0,false,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true
62,30,0.265625,2150508,0.0,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true
63,30,0.171875,1456131,0.0,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true
64,30,0.171875,1586246,0.0,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,true,false
65,30,0.28125,2555376,0.0,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false
66,30,0.125,1249996,0.0,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,false
67,30,0.421875,3504229,0.0,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true
68,30,0.4375,3762940,0.0,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false
69,30,0.6875,6823587,0.0,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false
70,30,0.3125,3055826,0.0,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false
71,30,0.25,2709321,0.0,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false
72,30,0.453125,4381822,0.0,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true
73,30,0.265625,2141828,0.0,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true
74,30,0.234375,2357477,0.0,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,true
75,30,0.1875,1800577,0.0,true,false,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false
76,30,0.484375,4803108,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,false,true,true,true,true,false,true,true,true,false
77,30,0.59375,5878854,0.0,true,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true
78,30,0.515625,5074776,0.0,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true,true
79,30,0.453125,4417176,0.0,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true
80,30,0.5625,4861655,0.0,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false
81,30,0.15625,1597779,0.0,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,false,true
82,30,0.171875,1573814,0.0,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,true
83,30,0.1875,1591535,0.0,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true
84,30,0.375,3283470,0.0,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true
85,30,1.046875,8913542,0.0,true,true,true,false,true,true,false,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true
86,30,0.515625,5136154,0.0,false,false,true,true,true,false,false,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
87,30,0.40625,3435961,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,true,false
88,30,0.09375,945671,0.0,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
89,30,0.3125,3116763,0.0,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true
90,30,0.5,4792501,0.0,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true
91,30,0.3125,2981240,0.0,true,false,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
92,30,0.0625,703768,0.0,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true
93,30,0.125,1278236,0.0,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true
94,30,0.4375,4206496,0.0,true,true,false,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true
95,30,0.265625,2270478,0.0,false,false,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false
96,30,0.40625,4032314,0.0,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true
