KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
37,32,0.0,0,0.010413734871939206,true,true,false,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
38,32,0.0,0,0.01676251928741759,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true
39,32,0.0,0,0.04510398016802093,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true
40,32,0.0,0,0.0396440666710937,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true
41,32,0.0,0,0.03688746258969459,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true
42,32,0.0,0,0.0340025006946374,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true
43,32,0.0,0,0.0037571332364512815,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true
44,32,0.0,0,0.0398735905739144,false,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true
45,32,0.0,0,0.00975676789885942,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true
46,32,0.0,0,0.020584673931845703,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true
47,32,0.0,0,0.0077524628457293744,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true
48,32,0.0,0,0.051101895328512184,true,true,true,false,true,true,true,true,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true
49,32,0.0,0,0.05432376528649708,true,true,false,true,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
50,32,0.0,0,0.024691358024691357,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true
51,32,0.0,0,0.02830005815080442,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true
52,32,0.0,0,0.05865870965394272,true,false,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false
53,32,0.0,0,0.03623549512351392,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,false,false,true
54,32,0.0,0,0.01964921119753125,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false
55,32,0.0,0,0.05393989752111896,true,true,true,false,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true
56,32,0.0,0,0.05278409507739711,true,true,false,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false
57,32,0.0,0,0.03215094929291351,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true
58,32,0.0,0,0.014381692210791518,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,false,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true
59,32,0.0,0,0.05480676414858246,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true
60,32,0.0,0,0.026987124463519314,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true
61,32,0.0,0,0.0,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true
62,32,0.0,0,0.05559515324305061,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,true
63,32,0.0,0,0.01615948289654731,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true
64,32,0.0,0,0.007539839325694719,true,true,true,true,false,false,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true
65,32,0.0,0,0.03847763901486081,true,true,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true
66,32,0.0,0,0.052457274971100074,false,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true
67,32,0.0,0,0.053061809837946367,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false
68,32,0.0,0,0.01244858588432279,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,false,true
69,32,0.0,0,0.051401355559626306,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false
70,32,0.0,0,0.0159447881960971,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true
71,32,0.0,0,0.041779766708238575,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true
72,32,0.0,0,0.05240837154777092,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false,true,true,false
73,32,0.0,0,0.036410395235517055,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true
74,32,0.0,0,0.06543326016515104,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true
75,32,0.0,0,0.018977522819930006,true,true,true,false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true
76,32,0.0,0,0.04559312163874901,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true
77,32,0.0,0,0.023120749862157692,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,false,true
78,32,0.0,0,0.0242342115214925,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,false,true
79,32,0.0,0,0.015752968376503782,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true
80,32,0.0,0,0.01289709475970676,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true
81,32,0.0,0,0.05208251934047042,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,true,true,true
82,32,0.0,0,0.024138059285156395,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false
83,32,0.0,0,0.053752367030995646,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true
84,32,0.015625,0,0.05725358045492839,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,false
85,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,false,true
86,32,0.0,0,0.04213652082393625,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,false,true,true,false,true
87,32,0.0,0,0.010790020082371761,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false
88,32,0.0,0,0.010100234263988633,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true
89,32,0.0,0,0.01193704120097877,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,true,true,false,true
90,32,0.0,0,0.05138022006305901,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,false,false,true,false,true,true,true
91,32,0.0,0,0.050187859777325844,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,false,false,true,false,true
92,32,0.0,0,0.04890175126150193,false,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
93,32,0.0,0,0.02366143861546782,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true
