KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
39,30,0.0,0,0.04555653497876432,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true
40,30,0.0,0,0.0560719131614654,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true
41,30,0.0,0,0.015615704937537181,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false,true,true
42,30,0.0,0,0.03977761836441894,false,true,true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true
43,30,0.0,0,0.026331857731644023,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true
44,30,0.0,0,0.04131954775364475,true,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true
45,30,0.0,0,0.007223711647304141,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true
46,30,0.0,0,0.0197575385559733,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true
47,30,0.0,0,0.05775005775005775,true,false,false,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
48,30,0.0,0,0.060828610201963756,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true
49,30,0.0,0,0.02138026325358156,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true
50,30,0.0,0,0.06409024589872246,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true
51,30,0.0,0,0.06457664417908295,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true
52,30,0.0,0,0.0013095757768165402,true,true,true,true,true,false,true,false,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
53,30,0.0,0,0.06292170719048189,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true
54,30,0.0,0,0.04358241248744301,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true
55,30,0.0,0,0.03482605341464311,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,false
56,30,0.0,0,0.05291747607741564,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false
57,30,0.0,0,0.031664543206175524,true,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true
58,30,0.0,0,4.888872174795984E-4,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,false
59,30,0.0,0,0.005207364701506416,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,false,false,true,false,true,true,true,true,true
60,30,0.0,0,0.04338695617719312,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true
61,30,0.0,0,0.05229379605419539,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false
62,30,0.0,0,0.04812967581047382,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false
63,30,0.0,0,0.05833139669997676,true,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true
64,30,0.0,0,0.06338482559684215,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true
65,30,0.0,0,0.04957673457815221,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true
66,30,0.0,0,0.036065293564652594,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,true
67,30,0.0,0,0.01507662767130107,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true
68,30,0.0,0,0.037860137068334555,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true
69,30,0.0,0,0.02092098660593662,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true
70,30,0.0,0,0.010871085011185682,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,true,false,true,true,true,true
71,30,0.0,0,0.019623815165876777,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true
72,30,0.0,0,0.003315315315315315,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false
73,30,0.0,0,0.038389072067828545,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true
74,30,0.0,0,0.07199838839645448,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true
75,30,0.0,0,0.004634994206257242,false,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true
76,30,0.0,0,0.037633429268825826,false,true,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true
77,30,0.0,0,0.0654263679228042,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false
78,30,0.0,0,0.05424439949052221,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true
79,30,0.0,0,0.062069209289173234,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true
80,30,0.0,0,0.0238560657438066,false,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true
81,30,0.0,0,0.06250903832248735,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true
82,30,0.0,0,0.04409540430482839,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,false,true,true
83,30,0.0,0,0.009056473829201103,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true
84,30,0.0,0,0.04284459351541287,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true
85,30,0.0,0,0.03535784513783252,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true,false,true,true,true
86,30,0.0,0,0.012612840631063866,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,false,false,true,true
87,30,0.0,0,0.03823115577889447,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true
88,30,0.0,0,0.034510130027215,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,true,true
89,30,0.0,0,0.004280117209363579,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,false
90,30,0.0,0,0.0583011583011583,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true
91,30,0.0,0,0.0012058847174210145,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true
92,30,0.0,0,0.02280959724563354,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true
93,30,0.0,0,0.03927961496662009,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true
