KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
64,15,0.0,0,0.0074474756977108815,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false
65,15,0.0,0,0.07962989946087717,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true
66,15,0.0,0,0.09411188039948533,true,true,true,false,true,false,true,true,true,true,true,true,false,false,false
67,15,0.0,0,0.04413364413364414,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true
68,15,0.0,0,0.035561998976633126,true,false,true,true,true,true,false,true,false,true,true,true,true,false,true
69,15,0.0,0,0.075835875723803,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false
70,15,0.0,0,0.004497269514937359,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true
71,15,0.0,0,0.0,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true
72,15,0.0,0,0.08685463200292932,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true
73,15,0.0,0,0.05771950122123666,true,true,false,true,true,false,true,false,true,true,true,true,true,false,true
74,15,0.0,0,0.07136626754420744,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false
75,15,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true
76,15,0.0,0,0.029009781589173254,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true
77,15,0.0,0,0.07020396098137748,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true
78,15,0.0,0,0.006091583811791066,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false
79,15,0.0,0,0.10282814715319752,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true
80,15,0.0,0,0.01316168009205984,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true
81,15,0.0,0,0.034148523710110346,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true
82,15,0.0,0,0.10347129506008011,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true
83,15,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false
84,15,0.0,0,0.08584288052373158,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true
85,15,0.0,0,0.07189838965751871,false,true,false,true,true,true,true,true,true,false,false,true,true,true,true
86,15,0.0,0,0.12646945831732617,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true
87,15,0.0,0,0.03835347007586401,false,true,true,false,true,true,true,true,true,true,true,true,false,false,true
88,15,0.0,0,0.12977454094677307,true,true,true,false,true,true,false,true,false,true,true,true,false,true,true
89,15,0.0,0,0.06560514430069662,true,true,true,true,true,false,false,true,true,true,true,false,true,true,false
90,15,0.0,0,0.00715307582260372,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false
91,15,0.015625,0,0.09145279733515027,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true
92,15,0.0,0,0.009802454354983538,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true
93,15,0.0,0,0.10689350774416179,true,true,true,true,false,true,false,false,true,true,true,true,false,true,true
94,15,0.0,0,0.040151834668916066,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true
95,15,0.0,0,0.03578541599743013,false,false,true,true,true,true,false,true,false,true,true,true,true,true,true
