KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
102,15,0.0,16384,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
103,15,0.0,3573,false,false,true,true,false,false,false,true,false,true,true,false,true,false,true
104,15,0.015625,14714,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true
105,15,0.0,12158,false,true,true,true,false,true,false,true,false,true,false,true,true,true,true
106,15,0.0,899,false,true,true,false,true,true,false,true,false,false,false,false,false,true,false
107,15,0.0,11,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
108,15,0.015625,16384,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
109,15,0.0,1589,false,false,true,false,true,true,false,true,false,false,false,false,false,true,true
110,15,0.0,12826,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true
111,15,0.015625,15971,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true
112,15,0.0,15740,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true
113,15,0.015625,14621,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false
114,15,0.0,16383,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
115,15,0.0,16384,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
116,15,0.0,11118,false,false,true,true,true,true,true,false,true,false,true,true,false,true,true
117,15,0.0,9178,true,true,true,true,false,true,true,true,false,false,true,false,false,false,false
118,15,0.0,16118,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true
119,15,0.0,608,false,false,true,false,false,false,false,false,false,true,false,true,true,true,true
120,15,0.0,13402,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true
121,15,0.0,15848,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true
122,15,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
123,15,0.0,19,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false
124,15,0.0,16261,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true
125,15,0.0,16048,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true
126,15,0.0,8318,true,true,false,false,true,true,true,true,true,true,false,false,false,false,false
127,15,0.015625,16384,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
128,15,0.0,14521,true,true,true,true,true,true,false,true,false,true,true,false,true,false,false
129,15,0.0,8973,true,true,false,false,true,false,true,true,true,false,false,false,false,true,true
130,15,0.0,12643,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false
131,15,0.0,258,true,false,false,true,true,false,false,true,false,false,false,false,true,false,false
132,15,0.0,2874,true,true,true,true,true,true,false,false,false,true,false,false,false,false,true
133,15,0.0,10000,true,true,true,false,true,true,true,true,false,false,false,true,false,true,true
134,15,0.0,8,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false
135,15,0.0,12812,true,true,true,true,false,true,false,false,true,false,true,true,true,true,true
136,15,0.0,16351,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true
137,15,0.0,21,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false
138,15,0.0,15738,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true
139,15,0.0,4013,true,true,false,true,true,false,false,true,true,false,false,true,false,true,false
140,15,0.0,38,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true
141,15,0.0,321,false,false,false,false,false,true,true,true,false,false,true,true,true,false,false
142,15,0.0,5399,true,true,false,true,true,true,true,false,true,false,false,true,true,true,false
143,15,0.0,22,false,false,false,true,true,true,false,false,false,false,false,false,false,true,true
144,15,0.0,3213,false,true,false,false,false,true,true,true,true,true,false,false,true,true,true
145,15,0.0,8280,true,true,true,false,true,true,true,false,false,false,true,false,true,false,true
