fileName,threadCnt,Čas
saj12,1,347.1333
saj12,5,193.3745
saj12,10,141.5383
saj12,15,90.3697
saj12,20,79.1904
saj6,1,88.7293
saj6,5,4.9187
saj6,10,2.7228
saj6,15,2.3538
saj6,20,2.1387
saj7,1,218.2721
saj7,5,0.8337
saj7,10,1.1007
saj7,15,1.2358
saj7,20,0.1667
