KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,20,0.0,9,1
-2,20,0.0,2,1
-3,20,0.0,6,1
-4,20,0.0,494,1
-5,20,0.0,62299,0
-6,20,0.0,2,1
-7,20,0.0,1048575,0
-8,20,0.015625,749345,0
-9,20,0.0,8,1
-10,20,0.0,12,1
-11,20,0.0,7,1
-12,20,0.0,11,1
-13,20,0.0,14016,0
-14,20,0.0,4,1
-15,20,0.015625,1048564,0
-16,20,0.0,5,1
-17,20,0.0,3,1
-18,20,0.015625,1048575,0
-19,20,0.015625,1048540,0
-20,20,0.0,20,1
-21,20,0.0,20,1
-22,20,0.015625,995972,0
-23,20,0.015625,1044263,0
-24,20,0.0,884932,0
-25,20,0.015625,1047854,0
-26,20,0.015625,1048511,0
-27,20,0.0,2,1
-28,20,0.0,2,1
-29,20,0.0,2,1
-30,20,0.0,712,0
-31,20,0.015625,1048217,0
-32,20,0.015625,937395,0
-33,20,0.015625,981349,0
-34,20,0.0,362,1
-35,20,0.015625,662339,0
-36,20,0.0,13,1
-37,20,0.0,146,1
-38,20,0.015625,1048546,0
-39,20,0.0,3,1
-40,20,0.0,212,1
-41,20,0.03125,1038985,0
-42,20,0.0,4,1
-43,20,0.0,544399,0
-44,20,0.015625,1046411,0
-45,20,0.0,219186,0
-46,20,0.0,26,1
-47,20,0.0,1048515,0
-48,20,0.0,3,1
-49,20,0.015625,551039,0
-50,20,0.015625,1039295,0
-51,20,0.0,1241,0
-52,20,0.0,28,1
-53,20,0.0,6,1
-54,20,0.0,2,1
-55,20,0.015625,997497,0
-56,20,0.015625,1048575,0
-57,20,0.0,5,1
-58,20,0.015625,1031010,0
-59,20,0.03125,1048476,0
-60,20,0.0,15,1
-61,20,0.0,9,1
-62,20,0.0,1048571,0
-63,20,0.015625,269528,0
-64,20,0.0,480276,0
-65,20,0.015625,151844,0
-66,20,0.0,8,1
-67,20,0.015625,1048575,0
-68,20,0.0,3,1
-69,20,0.015625,727137,0
-70,20,0.0,147,0
-71,20,0.0,3,1
-72,20,0.0,20,1
-73,20,0.0,12,1
-74,20,0.015625,1045348,0
-75,20,0.0,418,0
-76,20,0.0,7,1
-77,20,0.015625,1046344,0
-78,20,0.0,4081,0
-79,20,0.0,9,1
-80,20,0.0,10,1
-81,20,0.0,1042861,0
-82,20,0.0,13,1
-83,20,0.0,8,1
-84,20,0.0,48360,0
-85,20,0.015625,1047504,0
-86,20,0.015625,938515,0
-87,20,0.0,619,0
-88,20,0.015625,1045326,0
-89,20,0.0,41746,0
-90,20,0.0,9,1
-91,20,0.0,924073,0
-92,20,0.0,101164,0
-93,20,0.0,383,0
-94,20,0.0,7541,0
-95,20,0.0,9,1
-96,20,0.0,9,1
-97,20,0.0,1046469,0
-98,20,0.0,157,1
-99,20,0.015625,955956,0
-100,20,0.0,3,1
-101,20,0.0,15,1
-102,20,0.0,3,1
-103,20,0.0,13,1
-104,20,0.015625,1048456,0
-105,20,0.0,361216,0
-106,20,0.015625,974885,0
-107,20,0.0,1893,0
-108,20,0.0,10,1
-109,20,0.0,4,1
-110,20,0.015625,1021787,0
-111,20,0.0,1116,1
-112,20,0.0,1382,0
-113,20,0.015625,926239,0
-114,20,0.0,43501,1
-115,20,0.0,370536,0
-116,20,0.015625,1048043,0
-117,20,0.0,10288,0
-118,20,0.0,11,1
-119,20,0.0,190,0
-120,20,0.015625,1048575,0
-121,20,0.0,2,1
-122,20,0.0,82,1
-123,20,0.0,719270,0
-124,20,0.0,3,1
-125,20,0.0,6,1
-126,20,0.015625,1034293,0
-127,20,0.015625,955097,0
-128,20,0.0,269911,0
-129,20,0.0,58272,1
-130,20,0.0,18616,0
-131,20,0.015625,1025408,0
-132,20,0.0,39294,0
-133,20,0.0,15,1
-134,20,0.0,9,1
-135,20,0.015625,1048075,0
-136,20,0.0,13,1
-137,20,0.0,873223,0
-138,20,0.0,13,1
-139,20,0.0,9,1
-140,20,0.0,13341,0
-141,20,0.0,3,1
-142,20,0.0,223,1
-143,20,0.0,7,1
-144,20,0.0,3887,1
-145,20,0.0,1046460,0
-146,20,0.0,11,1
-147,20,0.0,1201,0
-148,20,0.015625,1039195,0
-149,20,0.015625,1048250,0
-150,20,0.0,4,1
-151,20,0.0,1010872,0
-152,20,0.0,71,0
-153,20,0.0,2,1
-154,20,0.0,13,1
-155,20,0.0,884637,0
-156,20,0.0,87,1
-157,20,0.015625,1048575,0
-158,20,0.0,52,1
-159,20,0.0,5,1
-160,20,0.015625,853914,0
-161,20,0.0,8,1
-162,20,0.0,11,1
-163,20,0.0,1014011,0
-164,20,0.0,4855,0
-165,20,0.0,20,1
-166,20,0.0,181783,0
-167,20,0.0,322620,0
-168,20,0.015625,1038343,0
-169,20,0.0,491,1
-170,20,0.0,205561,0
-171,20,0.015625,1048575,0
-172,20,0.0,1041221,0
-173,20,0.015625,1048575,0
-174,20,0.0,5,1
-175,20,0.0,11,1
-176,20,0.0,180403,0
-177,20,0.0,1849,0
-178,20,0.0,38,0
-179,20,0.0,91058,0
-180,20,0.0,2094,0
-181,20,0.0,3,1
-182,20,0.0,917915,0
-183,20,0.0,5,1
-184,20,0.015625,1048519,0
-185,20,0.0,1407,1
