KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,10,0.0,4,1
-2,10,0.0,1,1
-3,10,0.0,1,1
-4,10,0.0,30,1
-5,10,0.0,488,0
-6,10,0.0,8,1
-7,10,0.0,442,0
-8,10,0.0,421,0
-9,10,0.0,20,1
-10,10,0.0,4,1
-11,10,0.0,105,1
-12,10,0.0,28,1
-13,10,0.0,559,0
-14,10,0.0,19,1
-15,10,0.0,531,0
-16,10,0.0,29,1
-17,10,0.0,34,1
-18,10,0.0,478,0
-19,10,0.0,466,0
-20,10,0.0,30,1
-21,10,0.0,26,1
-22,10,0.0,469,0
-23,10,0.0,448,0
-24,10,0.0,464,0
-25,10,0.0,430,0
-26,10,0.0,507,0
-27,10,0.0,16,1
-28,10,0.0,1,1
-29,10,0.0,1,1
-30,10,0.0,457,0
-31,10,0.0,593,0
-32,10,0.0,576,0
-33,10,0.0,471,0
-34,10,0.0,87,1
-35,10,0.0,468,0
-36,10,0.0,8,1
-37,10,0.0,17,1
-38,10,0.0,529,0
-39,10,0.0,1,1
-40,10,0.0,1,1
-41,10,0.0,551,0
-42,10,0.0,4,1
-43,10,0.0,532,0
-44,10,0.0,463,0
-45,10,0.0,534,0
-46,10,0.0,10,1
-47,10,0.0,474,0
-48,10,0.0,19,1
-49,10,0.0,411,0
-50,10,0.0,449,0
-51,10,0.0,469,0
-52,10,0.0,20,1
-53,10,0.0,16,1
-54,10,0.0,24,1
-55,10,0.0,428,0
-56,10,0.0,472,0
-57,10,0.0,17,1
-58,10,0.0,543,0
-59,10,0.0,511,0
-60,10,0.0,61,1
-61,10,0.0,20,1
-62,10,0.0,485,0
-63,10,0.0,431,0
-64,10,0.0,450,0
-65,10,0.0,450,0
-66,10,0.0,19,1
-67,10,0.0,461,0
-68,10,0.0,1,1
-69,10,0.0,546,0
-70,10,0.0,380,0
-71,10,0.0,1,1
-72,10,0.0,29,1
-73,10,0.0,4,1
-74,10,0.0,496,0
-75,10,0.0,476,0
-76,10,0.0,31,1
-77,10,0.0,414,0
-78,10,0.0,467,0
-79,10,0.0,33,1
-80,10,0.0,20,1
-81,10,0.0,464,0
-82,10,0.0,4,1
-83,10,0.0,1,1
-84,10,0.0,471,0
-85,10,0.0,575,0
-86,10,0.0,416,0
-87,10,0.0,445,0
-88,10,0.0,442,0
-89,10,0.0,394,0
-90,10,0.0,31,1
-91,10,0.0,469,0
-92,10,0.0,502,0
-93,10,0.0,537,0
-94,10,0.0,491,0
-95,10,0.0,31,1
-96,10,0.0,8,1
-97,10,0.0,449,0
-98,10,0.0,32,1
-99,10,0.0,456,0
-100,10,0.0,27,1
-101,10,0.0,45,1
-102,10,0.0,17,1
-103,10,0.0,29,1
-104,10,0.0,478,0
-105,10,0.0,500,0
-106,10,0.0,461,0
-107,10,0.0,505,0
-108,10,0.0,4,1
-109,10,0.0,33,1
-110,10,0.0,435,0
-111,10,0.0,30,1
-112,10,0.0,536,0
-113,10,0.0,425,0
-114,10,0.0,91,1
-115,10,0.0,521,0
-116,10,0.0,462,0
-117,10,0.0,445,0
-118,10,0.0,20,1
-119,10,0.0,410,0
-120,10,0.0,436,0
-121,10,0.0,1,1
-122,10,0.0,4,1
-123,10,0.0,445,0
-124,10,0.0,85,1
-125,10,0.0,1,1
-126,10,0.0,468,0
-127,10,0.0,450,0
-128,10,0.0,483,0
-129,10,0.0,93,1
-130,10,0.0,539,0
-131,10,0.0,527,0
-132,10,0.0,479,0
-133,10,0.0,31,1
-134,10,0.0,1,1
-135,10,0.0,572,0
-136,10,0.0,24,1
-137,10,0.0,432,0
-138,10,0.0,30,1
-139,10,0.0,19,1
-140,10,0.0,502,0
-141,10,0.0,16,1
-142,10,0.0,29,1
-143,10,0.0,1,1
-144,10,0.0,29,1
-145,10,0.0,587,0
-146,10,0.0,31,1
-147,10,0.0,474,0
-148,10,0.0,466,0
-149,10,0.0,458,0
-150,10,0.0,1,1
-151,10,0.0,419,0
-152,10,0.0,512,0
-153,10,0.0,10,1
-154,10,0.0,24,1
-155,10,0.0,474,0
-156,10,0.0,26,1
-157,10,0.0,428,0
-158,10,0.0,20,1
-159,10,0.0,4,1
-160,10,0.0,479,0
-161,10,0.0,16,1
-162,10,0.0,20,1
-163,10,0.0,461,0
-164,10,0.0,530,0
-165,10,0.0,1,1
-166,10,0.0,504,0
-167,10,0.0,460,0
-168,10,0.0,528,0
-169,10,0.0,35,1
-170,10,0.0,470,0
-171,10,0.0,523,0
-172,10,0.0,429,0
-173,10,0.0,406,0
-174,10,0.0,5,1
-175,10,0.0,26,1
-176,10,0.0,449,0
-177,10,0.0,474,0
-178,10,0.0,505,0
-179,10,0.0,494,0
-180,10,0.0,500,0
-181,10,0.0,10,1
-182,10,0.0,401,0
-183,10,0.0,8,1
-184,10,0.0,450,0
-185,10,0.0,31,1
-186,10,0.0,27,1
-187,10,0.0,439,0
-188,10,0.0,497,0
-189,10,0.0,27,1
-190,10,0.0,456,0
-191,10,0.0,432,0
-192,10,0.0,435,0
-193,10,0.0,16,1
-194,10,0.0,481,0
-195,10,0.0,411,0
-196,10,0.0,19,1
-197,10,0.0,525,0
-198,10,0.0,17,1
-199,10,0.0,1,1
-200,10,0.0,1,1
-201,10,0.0,10,1
-202,10,0.0,471,0
-203,10,0.0,10,1
-204,10,0.0,494,0
-205,10,0.0,17,1
-206,10,0.0,1,1
-207,10,0.0,470,0
-208,10,0.0,578,0
-209,10,0.0,564,0
-210,10,0.0,525,0
-211,10,0.0,19,1
-212,10,0.0,51,1
-213,10,0.0,20,1
-214,10,0.0,29,1
-215,10,0.0,412,0
-216,10,0.0,492,0
-217,10,0.0,478,0
-218,10,0.0,541,0
-219,10,0.0,457,0
-220,10,0.0,33,1
-221,10,0.0,502,0
-222,10,0.0,10,1
-223,10,0.0,509,0
-224,10,0.0,10,1
-225,10,0.0,474,0
-226,10,0.0,430,0
-227,10,0.0,557,0
-228,10,0.0,35,1
-229,10,0.0,21,1
-230,10,0.0,522,0
-231,10,0.0,22,1
-232,10,0.0,26,1
