KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,962,0.0
2,20,0.0,971,0.0
3,20,0.0,1840,0.0
4,20,0.0,2265,0.0
5,20,0.0,1999,0.0
6,20,0.0,1277,0.0
7,20,0.0,2375,0.0
8,20,0.0,1288,0.0
9,20,0.0,1082,0.0
10,20,0.0,1629,0.0
11,20,0.0,682,0.0
12,20,0.0,1295,0.0
13,20,0.0,2011,0.0
14,20,0.0,3205,0.0
15,20,0.0,1985,0.0
16,20,0.0,895,0.0
17,20,0.0,1528,0.0
18,20,0.0,1115,0.0
19,20,0.0,1238,0.0
20,20,0.0,1089,0.0
21,20,0.0,1688,0.0
22,20,0.0,395,0.0
23,20,0.0,805,0.0
24,20,0.0,1725,0.0
25,20,0.0,1557,0.0
26,20,0.0,732,0.0
27,20,0.0,2875,0.0
28,20,0.0,1220,0.0
29,20,0.0,1312,0.0
30,20,0.0,3279,0.0
31,20,0.0,872,0.0
32,20,0.0,833,0.0
33,20,0.0,902,0.0
34,20,0.0,843,0.0
35,20,0.0,633,0.0
36,20,0.015625,1247,0.0
37,20,0.0,668,0.0
38,20,0.0,1599,0.0
39,20,0.0,1151,0.0
40,20,0.0,874,0.0
41,20,0.0,931,0.0
42,20,0.0,1393,0.0
43,20,0.0,2003,0.0
44,20,0.0,546,0.0
45,20,0.0,2284,0.0
46,20,0.0,904,0.0
47,20,0.0,1416,0.0
48,20,0.0,1196,0.0
49,20,0.0,893,0.0
50,20,0.0,880,0.0
