KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,12242,0.0
2,20,0.0,15964,0.0
3,20,0.0,10028,0.0
4,20,0.0,8695,0.0
5,20,0.015625,20411,0.0
6,20,0.0,3514,0.0
7,20,0.0,2364,0.0
8,20,0.0,7618,0.0
9,20,0.0,14609,0.0
10,20,0.0,12354,0.0
11,20,0.0,20611,0.0
12,20,0.015625,26496,0.0
13,20,0.0,11572,0.0
14,20,0.0,7214,0.0
15,20,0.015625,26722,0.0
16,20,0.0,13460,0.0
17,20,0.0,15001,0.0
18,20,0.0,7838,0.0
19,20,0.015625,8912,0.0
20,20,0.0,8811,0.0
21,20,0.0,12749,0.0
22,20,0.0,10810,0.0
23,20,0.0,7527,0.0
24,20,0.015625,15900,0.0
25,20,0.0,13728,0.0
26,20,0.015625,15361,0.0
27,20,0.015625,8008,0.0
28,20,0.0,30673,0.0
29,20,0.015625,17696,0.0
30,20,0.0,5191,0.0
31,20,0.0,24352,0.0
32,20,0.0,11895,0.0
33,20,0.0,13078,0.0
34,20,0.0,4028,0.0
35,20,0.015625,19961,0.0
36,20,0.0,10843,0.0
37,20,0.0,5047,0.0
38,20,0.0,8391,0.0
39,20,0.0,13155,0.0
40,20,0.0,10970,0.0
41,20,0.015625,20277,0.0
42,20,0.0,10742,0.0
43,20,0.0,12486,0.0
44,20,0.0,10131,0.0
45,20,0.0,9858,0.0
46,20,0.0,15009,0.0
47,20,0.0,14598,0.0
48,20,0.0,6086,0.0
49,20,0.0,5194,0.0
50,20,0.015625,8372,0.0
